"","name","Rank","year","value","lastYear"
"1","Austria",1,2015,11.4,11.4
"2","Croatia",1,2015,9.89,9.89
"3","Estonia",1,2015,16.64,16.64
"4","France",1,2015,11.87,11.87
"5","Hungary",1,2015,10.9,10.9
"6","Ireland",1,2015,10.93,10.93
"7","Portugal",1,2015,10.54,10.54
"8","Republic of Moldova",1,2015,9.39,9.39
"9","Slovenia",1,2015,11.49,11.49
"10","Belarus",2,2015,10.09,10.09
"11","Cook Islands",2,2015,0,0
"12","Czechia",2,2015,12.82,12.82
"13","Italy",2,2015,7.14,7.14
"14","Lithuania",2,2015,14.42,14.42
"15","Luxembourg",2,2015,11.83,11.83
"16","Spain",2,2015,8.26,8.26
"17","United States of America",2,2015,8.78,8.78
"18","Belgium",3,2015,10.36,10.36
"19","Saint Lucia",3,2015,9.66,9.66
"20","Argentina",4,2015,8.42,8.42
"21","Bahamas",4,2015,8.65,8.65
"22","Germany",4,2015,11.99,11.99
"23","Bulgaria",5,2015,11.3,11.3
"24","Romania",5,2015,10.4,10.4
"25","Gabon",6,2015,9.54,9.54
"26","Republic of Korea",6,2015,9.06,9.06
"27","Slovakia",6,2015,10.78,10.78
"28","Switzerland",6,2015,9.62,9.62
"29","Bosnia and Herzegovina",7,2015,4.33,4.33
"30","Cyprus",7,2015,9.55,9.55
"31","Rwanda",7,2015,6.91,6.91
"32","Seychelles",7,2015,11.5,11.5
"33","Latvia",8,2015,10.82,10.82
"34","Uganda",8,2015,7.63,7.63
"35","Chile",9,2015,7.89,7.89
"36","Russian Federation",10,2015,8.41,8.41
"37","Andorra",11,2015,9.97,9.97
"38","Australia",11,2015,9.52,9.52
"39","Equatorial Guinea",11,2015,9.85,9.85
"40","Poland",11,2015,10.48,10.48
"41","Denmark",12,2015,9.38,9.38
"42","Uruguay",12,2015,9.03,9.03
"43","New Zealand",13,2015,8.87,8.87
"44","United Arab Emirates",13,2015,2.03,2.03
"45","Greece",14,2015,6.64,6.64
"46","Kazakhstan",14,2015,5.92,5.92
"47","Niue",14,2015,0,0
"48","Paraguay",14,2015,5.63,5.63
"49","Zambia",16,2015,2.89,2.89
"50","United Kingdom of Great Britain and Northern Ireland",17,2015,9.82,9.82
"51","Nigeria",18,2015,9.62,9.62
"52","South Africa",18,2015,7.12,7.12
"53","Haiti",19,2015,5.81,5.81
"54","Sao Tome and Principe",19,2015,4.85,4.85
"55","Burundi",20,2015,0,0
"56","Eswatini",20,2015,7.38,7.38
"57","Netherlands",20,2015,8.03,8.03
"58","Dominica",21,2015,0,0
"59","Grenada",21,2015,8.67,8.67
"60","Canada",22,2015,8,8
"61","Saint Kitts and Nevis",24,2015,8.8,8.8
"62","Serbia",24,2015,9.13,9.13
"63","Guyana",25,2015,4.75,4.75
"64","Peru",25,2015,5.1,5.1
"65","Austria",1,2014,12.2,12.2
"66","Croatia",1,2014,10.64,10.64
"67","Estonia",1,2014,17.29,17.29
"68","France",1,2014,11.97,11.97
"69","Hungary",1,2014,10.88,10.88
"70","Ireland",1,2014,11,11
"71","Portugal",1,2014,10.35,10.35
"72","Republic of Moldova",1,2014,9.14,9.14
"73","Slovenia",1,2014,10.92,10.92
"74","Belarus",2,2014,11.71,11.71
"75","Cook Islands",2,2014,0,0
"76","Czechia",2,2014,13.06,13.06
"77","Italy",2,2014,7.56,7.56
"78","Lithuania",2,2014,14.82,14.82
"79","Luxembourg",2,2014,11.69,11.69
"80","Spain",2,2014,8.7,8.7
"81","United States of America",2,2014,8.77,8.77
"82","Belgium",3,2014,10.57,10.57
"83","Saint Lucia",3,2014,9.5,9.5
"84","Argentina",4,2014,7.93,7.93
"85","Bahamas",4,2014,8.62,8.62
"86","Germany",4,2014,11.6,11.6
"87","Bulgaria",5,2014,10.67,10.67
"88","Romania",5,2014,10.46,10.46
"89","Gabon",6,2014,9.54,9.54
"90","Republic of Korea",6,2014,8.95,8.95
"91","Slovakia",6,2014,10.89,10.89
"92","Switzerland",6,2014,9.62,9.62
"93","Bosnia and Herzegovina",7,2014,4.34,4.34
"94","Cyprus",7,2014,9.59,9.59
"95","Rwanda",7,2014,6.83,6.83
"96","Seychelles",7,2014,9.77,9.77
"97","Latvia",8,2014,10.6,10.6
"98","Uganda",8,2014,7.67,7.67
"99","Chile",9,2014,7.92,7.92
"100","Russian Federation",10,2014,8.85,8.85
"101","Andorra",11,2014,9.95,9.95
"102","Australia",11,2014,9.71,9.71
"103","Equatorial Guinea",11,2014,10.23,10.23
"104","Poland",11,2014,10.45,10.45
"105","Denmark",12,2014,9.53,9.53
"106","Uruguay",12,2014,9.06,9.06
"107","New Zealand",13,2014,9.15,9.15
"108","United Arab Emirates",13,2014,1.94,1.94
"109","Greece",14,2014,6.99,6.99
"110","Kazakhstan",14,2014,6.06,6.06
"111","Niue",14,2014,0,0
"112","Paraguay",14,2014,6.07,6.07
"113","Zambia",16,2014,2.93,2.93
"114","United Kingdom of Great Britain and Northern Ireland",17,2014,9.69,9.69
"115","Nigeria",18,2014,9.64,9.64
"116","South Africa",18,2014,7.17,7.17
"117","Haiti",19,2014,5.81,5.81
"118","Sao Tome and Principe",19,2014,5.39,5.39
"119","Burundi",20,2014,0,0
"120","Eswatini",20,2014,7.46,7.46
"121","Netherlands",20,2014,8.16,8.16
"122","Dominica",21,2014,0,0
"123","Grenada",21,2014,8.47,8.47
"124","Canada",22,2014,8.1,8.1
"125","Saint Kitts and Nevis",24,2014,8.58,8.58
"126","Serbia",24,2014,8.77,8.77
"127","Guyana",25,2014,5.2,5.2
"128","Peru",25,2014,5.14,5.14
"129","Austria",1,2013,11.6,11.6
"130","Croatia",1,2013,11.64,11.64
"131","Estonia",1,2013,17.75,17.75
"132","France",1,2013,11.64,11.64
"133","Hungary",1,2013,10.7,10.7
"134","Ireland",1,2013,10.64,10.64
"135","Portugal",1,2013,10.54,10.54
"136","Republic of Moldova",1,2013,9.62,9.62
"137","Slovenia",1,2013,9.53,9.53
"138","Belarus",2,2013,12.37,12.37
"139","Cook Islands",2,2013,15.78,15.78
"140","Czechia",2,2013,12.84,12.84
"141","Italy",2,2013,7.35,7.35
"142","Lithuania",2,2013,15.14,15.14
"143","Luxembourg",2,2013,11.55,11.55
"144","Spain",2,2013,8.77,8.77
"145","United States of America",2,2013,8.81,8.81
"146","Belgium",3,2013,10.33,10.33
"147","Saint Lucia",3,2013,9.26,9.26
"148","Argentina",4,2013,8.2,8.2
"149","Bahamas",4,2013,8.55,8.55
"150","Germany",4,2013,11.67,11.67
"151","Bulgaria",5,2013,10.74,10.74
"152","Romania",5,2013,10.59,10.59
"153","Gabon",6,2013,8.7,8.7
"154","Republic of Korea",6,2013,8.77,8.77
"155","Slovakia",6,2013,10.54,10.54
"156","Switzerland",6,2013,9.74,9.74
"157","Bosnia and Herzegovina",7,2013,4.43,4.43
"158","Cyprus",7,2013,9.04,9.04
"159","Rwanda",7,2013,6.9,6.9
"160","Seychelles",7,2013,9.36,9.36
"161","Latvia",8,2013,10.43,10.43
"162","Uganda",8,2013,7.58,7.58
"163","Chile",9,2013,7.23,7.23
"164","Russian Federation",10,2013,9.92,9.92
"165","Andorra",11,2013,9.78,9.78
"166","Australia",11,2013,9.87,9.87
"167","Equatorial Guinea",11,2013,10.16,10.16
"168","Poland",11,2013,10.79,10.79
"169","Denmark",12,2013,9.43,9.43
"170","Uruguay",12,2013,8.7,8.7
"171","New Zealand",13,2013,9.25,9.25
"172","United Arab Emirates",13,2013,1.86,1.86
"173","Greece",14,2013,7.52,7.52
"174","Kazakhstan",14,2013,6.26,6.26
"175","Niue",14,2013,10.57,10.57
"176","Paraguay",14,2013,6.14,6.14
"177","Zambia",16,2013,2.81,2.81
"178","United Kingdom of Great Britain and Northern Ireland",17,2013,9.65,9.65
"179","Nigeria",18,2013,9.63,9.63
"180","South Africa",18,2013,7.19,7.19
"181","Haiti",19,2013,5.81,5.81
"182","Sao Tome and Principe",19,2013,4.78,4.78
"183","Burundi",20,2013,0,0
"184","Eswatini",20,2013,6.53,6.53
"185","Netherlands",20,2013,8.54,8.54
"186","Dominica",21,2013,8.41,8.41
"187","Grenada",21,2013,8.37,8.37
"188","Canada",22,2013,8.2,8.2
"189","Saint Kitts and Nevis",24,2013,8.51,8.51
"190","Serbia",24,2013,9.06,9.06
"191","Guyana",25,2013,5.11,5.11
"192","Peru",25,2013,5.06,5.06
"193","Austria",1,2012,12.1,12.1
"194","Croatia",1,2012,11.92,11.92
"195","Estonia",1,2012,16.96,16.96
"196","France",1,2012,12.24,12.24
"197","Hungary",1,2012,11.14,11.14
"198","Ireland",1,2012,11.53,11.53
